City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Lebu,CL,2021-11-28 22:11:15,-37.6167,-73.65,55.53,73,5,19.26
68,Lugovoy,KZ,2021-11-28 22:11:16,42.9472,72.7644,28.11,63,9,4.27
69,Dikson,RU,2021-11-28 22:11:17,73.5069,80.5464,-15.52,100,100,12.21
70,Zabaykalsk,RU,2021-11-28 22:11:17,49.6333,117.3167,1.27,93,16,5.48
71,Klaeng,TH,2021-11-28 22:11:17,12.7797,101.6483,71.62,86,99,8.25
72,Timra,SE,2021-11-28 22:11:18,62.487,17.3257,19.08,93,90,8.05
73,Synya,RU,2021-11-28 22:11:18,65.3718,58.0387,16.86,96,100,4.68
74,Pangnirtung,CA,2021-11-28 22:11:19,66.1451,-65.7125,15.33,77,100,8.57
75,Atuona,PF,2021-11-28 22:11:19,-9.8,-139.0333,78.53,71,1,17.65
76,Port Elizabeth,ZA,2021-11-28 22:11:20,-33.918,25.5701,65.32,80,27,15.55
77,Isla Mujeres,MX,2021-11-28 22:11:20,21.2311,-86.731,82.45,67,31,5.12
78,Beringovskiy,RU,2021-11-28 22:06:36,63.05,179.3167,5.67,94,98,4.9
79,Lagoa,PT,2021-11-28 22:11:21,39.05,-27.9833,60.31,55,63,1.52
80,East London,ZA,2021-11-28 22:06:38,-33.0153,27.9116,67.96,73,21,6.71
81,Tasiilaq,GL,2021-11-28 22:11:22,65.6145,-37.6368,26.76,96,97,3.6
82,Moose Factory,CA,2021-11-28 22:11:22,51.2585,-80.6094,21.2,93,90,0.0
83,Torzhok,RU,2021-11-28 22:07:48,57.0436,34.9622,32.05,98,100,3.6
84,Ostersund,SE,2021-11-28 22:11:23,63.1792,14.6357,16.25,100,0,8.05
85,Bengkulu,ID,2021-11-28 22:11:23,-3.8004,102.2655,75.97,85,100,5.08
86,Kapaa,US,2021-11-28 22:11:23,22.0752,-159.319,82.72,57,20,13.8
87,Hualmay,PE,2021-11-28 22:09:10,-11.0964,-77.6139,68.99,78,80,10.42
88,New Norfolk,AU,2021-11-28 22:11:24,-42.7826,147.0587,56.7,60,67,1.52
89,Tripoli,LY,2021-11-28 22:11:24,32.8752,13.1875,61.93,52,64,30.62
90,Loiza,PR,2021-11-28 22:11:25,18.4313,-65.8802,82.36,78,40,8.05
91,Kodiak,US,2021-11-28 22:11:26,57.79,-152.4072,13.51,44,1,0.0
92,Mendi,PG,2021-11-28 22:11:26,-6.1761,143.6513,60.33,91,100,0.29
93,Vanavara,RU,2021-11-28 22:12:26,60.34,102.2797,9.61,97,100,4.16
94,Luderitz,NA,2021-11-28 22:12:27,-26.6481,15.1594,60.94,84,15,8.81
95,Vila Velha,BR,2021-11-28 22:10:26,-20.3297,-40.2925,78.75,89,75,6.91
96,Alice Springs,AU,2021-11-28 22:12:27,-23.7,133.8833,63.95,55,0,0.0
97,Ponta Do Sol,PT,2021-11-28 22:09:11,32.6667,-17.1,63.23,78,40,8.93
98,Duobao,CN,2021-11-28 22:12:28,30.67,112.6895,48.43,60,26,4.94
99,Ossora,RU,2021-11-28 22:12:28,59.2353,163.0719,31.82,95,100,24.83
100,Pacific Grove,US,2021-11-28 22:12:29,36.6177,-121.9166,78.48,40,1,5.75
101,Albany,US,2021-11-28 22:07:45,42.6001,-73.9662,30.85,92,86,1.83
102,Zhigansk,RU,2021-11-28 22:12:30,66.7697,123.3711,-7.4,99,100,5.68
103,Arraial Do Cabo,BR,2021-11-28 22:12:30,-22.9661,-42.0278,74.26,85,22,5.68
